ID,Estacion,Especies,Tiempo,Hora_Decimal
1,CAM01,Canis latrans,01:30:31,1.5
2,CAM01,Canis latrans,06:37:25,6.62
3,CAM01,Canis latrans,21:29:15,21.48
4,CAM02,Canis latrans,21:21:55,21.35
5,CAM02,Canis latrans,06:45:43,6.75
6,CAM02,Canis latrans,23:10:32,23.17
7,CAM02,Canis latrans,12:53:00,12.88
8,CAM02,Canis latrans,02:31:17,2.52
9,CAM02,Canis latrans,08:32:30,8.53
10,CAM02,Canis latrans,11:38:06,11.63
11,CAM02,Canis latrans,02:42:01,2.7
12,CAM02,Canis latrans,22:59:59,22.98
13,CAM02,Canis latrans,06:16:18,6.27
14,CAM02,Canis latrans,21:12:29,21.2
15,CAM02,Canis latrans,04:43:43,4.72
16,CAM02,Canis latrans,08:43:24,8.72
17,CAM02,Canis latrans,22:15:32,22.25
18,CAM02,Canis latrans,04:00:03,4
19,CAM02,Canis latrans,23:23:54,23.38
20,CAM02,Canis latrans,08:40:10,8.67
21,CAM03,Canis latrans,20:09:20,20.15
22,CAM03,Canis latrans,20:31:43,20.52
23,CAM03,Canis latrans,01:10:22,1.17
24,CAM03,Sylvilagus floridanus,00:03:43,0.05
25,CAM03,Sylvilagus floridanus,23:18:40,23.3
26,CAM03,Sylvilagus floridanus,03:00:01,3
27,CAM03,Sylvilagus floridanus,21:05:34,21.08
28,CAM03,Canis latrans,08:10:01,8.17
29,CAM03,Canis latrans,00:55:55,0.92
30,CAM03,Canis latrans,23:45:21,23.75
31,CAM03,Canis latrans,20:52:22,20.87
32,CAM03,Canis latrans,20:31:05,20.52
33,CAM03,Canis latrans,03:10:11,3.17
34,CAM03,Canis latrans,13:30:12,13.5
35,CAM04,Canis latrans,21:37:01,21.62
36,CAM04,Sylvilagus floridanus,19:10:21,19.17
37,CAM04,Sylvilagus floridanus,16:43:44,16.72
38,CAM04,Canis latrans,03:00:45,3
39,CAM04,Canis latrans,20:53:01,20.88
40,CAM04,Canis latrans,22:55:54,22.92
41,CAM04,Canis latrans,20:25:43,20.42
42,CAM04,Canis latrans,01:54:51,1.9
43,CAM04,Canis latrans,20:51:31,20.85
44,CAM04,Sylvilagus floridanus,17:19:34,17.32
45,CAM04,Sylvilagus floridanus,02:25:31,2.42
46,CAM05,Sylvilagus floridanus,09:08:01,9.13
47,CAM06,Sylvilagus floridanus,18:05:42,18.08
48,CAM06,Sylvilagus floridanus,17:31:29,17.52
49,CAM06,Sylvilagus floridanus,20:01:07,20.02
50,CAM07,Canis latrans,00:40:13,0.67
51,CAM07,Canis latrans,21:31:11,21.52
52,CAM07,Sylvilagus floridanus,15:11:43,15.18
53,CAM07,Sylvilagus floridanus,23:05:43,23.08
54,CAM07,Sylvilagus floridanus,01:50:42,1.83
55,CAM07,Sylvilagus floridanus,17:31:43,17.52
56,CAM07,Sylvilagus floridanus,01:45:43,1.75
57,CAM07,Sylvilagus floridanus,06:00:01,6
58,CAM07,Sylvilagus floridanus,19:31:50,19.52
59,CAM07,Sylvilagus floridanus,00:30:10,0.5
60,CAM07,Sylvilagus floridanus,19:06:35,19.1
61,CAM08,Canis latrans,19:40:43,19.67
62,CAM08,Canis latrans,19:00:04,19
63,CAM08,Canis latrans,12:00:21,12
64,CAM08,Canis latrans,17:40:23,17.67
65,CAM08,Canis latrans,11:00:22,11
66,CAM09,Canis latrans,05:00:12,5
67,CAM09,Canis latrans,03:50:31,3.83
68,CAM09,Sylvilagus floridanus,16:59:24,16.98
69,CAM09,Sylvilagus floridanus,20:42:13,20.7
70,CAM09,Sylvilagus floridanus,05:28:16,5.47
71,CAM10,Canis latrans,19:32:04,19.53
72,CAM10,Canis latrans,14:59:10,14.98
73,CAM10,Sylvilagus floridanus,04:10:17,4.17
74,CAM10,Canis latrans,20:05:45,20.08
75,CAM10,Canis latrans,19:50:21,19.83
76,CAM10,Canis latrans,23:31:31,23.52
77,CAM10,Canis latrans,19:15:23,19.25
78,CAM10,Sylvilagus floridanus,13:22:43,12.37
79,CAM10,Sylvilagus floridanus,03:55:34,3.92
80,CAM11,Canis latrans,05:55:21,5.92
81,CAM12,Canis latrans,01:22:23,1.37
82,CAM12,Canis latrans,10:10:11,10.17
83,CAM12,Canis latrans,00:41:22,0.68
84,CAM12,Canis latrans,09:22:19,9.37
85,CAM12,Canis latrans,20:15:53,20.25
86,CAM12,Canis latrans,21:53:21,21.88
87,CAM12,Canis latrans,20:09:21,20.15
88,CAM12,Canis latrans,17:54:22,17.9
89,CAM12,Canis latrans,10:00:02,10
90,CAM12,Canis latrans,22:59:57,22.98
91,CAM12,Canis latrans,01:59:00,1.98
92,CAM12,Canis latrans,19:30:04,19.5
93,CAM12,Canis latrans,10:45:30,10.75
94,CAM12,Canis latrans,18:49:43,18.82
95,CAM12,Canis latrans,19:40:53,19.67
96,CAM12,Canis latrans,19:00:35,19
97,CAM12,Canis latrans,18:30:34,18.5
98,CAM12,Canis latrans,19:00:10,19
99,CAM12,Canis latrans,03:11:00,3.18
100,CAM12,Sylvilagus floridanus,07:21:22,7.35
