Camara,Especie,Esfuerzo,Visitas,Año,Modelo,DBMC,Rio,T_max,HR
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,32.425,48.465
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,30.625,61.8325
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,32.35,58.0125
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,33.9,39.0975
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,33.35,41.5975
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,34.875,51.5525
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,35.175,51.46
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,35.725,52.975
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,33.875,57.7225
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,33.65,51.21
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,34.6,47.87
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,35.45,48.515
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,36.825,44.9375
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,37.125,45.9275
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,36,46.4025
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,39.55,39.8375
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,32.475,39.05
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,38.375,36.6
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,33.45,53.46
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,34.725,51.345
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,38.975,39.205
B1_1,Venado,22,0,A 2014,M 1,166.97305,1021,39.325,43.62
B1_1,Venado,20,0,A 2016,M 1,166.97305,1021,25.975,54.8775
B1_1,Venado,20,0,A 2016,M 1,166.97305,1021,32.525,42.8325
B1_1,Venado,20,0,A 2016,M 1,166.97305,1021,30.375,56.06
B1_1,Venado,20,0,A 2016,M 1,166.97305,1021,31.325,51.965
B1_1,Venado,20,0,A 2016,M 1,166.97305,1021,28.525,57.8275
B1_1,Venado,20,0,A 2016,M 1,166.97305,1021,26.275,62.58
