"","StationID","SpeciesID","FC"
"1","Lipl1","Conepatus semistriatus",0
"2","Lipl2","Conepatus semistriatus",0
"3","Lipl3","Conepatus semistriatus",0
"4","Lipl4","Conepatus semistriatus",0
"5","Lipl5","Conepatus semistriatus",0
"6","Posa1","Conepatus semistriatus",19.2
"7","Posa2","Conepatus semistriatus",6.2
"8","Posa3","Conepatus semistriatus",0
"9","Posa4","Conepatus semistriatus",20
"10","Lipl1","Cuniculus paca",3.3
"11","Lipl2","Cuniculus paca",3.6
"12","Lipl3","Cuniculus paca",33.3
"13","Lipl4","Cuniculus paca",6.2
"14","Lipl5","Cuniculus paca",21.4
"15","Posa1","Cuniculus paca",15.4
"16","Posa2","Cuniculus paca",31.2
"17","Posa3","Cuniculus paca",25
"18","Posa4","Cuniculus paca",0
"19","Lipl1","Dasyprocta punctata",13.3
"20","Lipl2","Dasyprocta punctata",0
"21","Lipl3","Dasyprocta punctata",0
"22","Lipl4","Dasyprocta punctata",0
"23","Lipl5","Dasyprocta punctata",0
"24","Posa1","Dasyprocta punctata",61.5
"25","Posa2","Dasyprocta punctata",50
"26","Posa3","Dasyprocta punctata",8.3
"27","Posa4","Dasyprocta punctata",20
"28","Lipl1","Didelphis marsupialis",0
"29","Lipl2","Didelphis marsupialis",0
"30","Lipl3","Didelphis marsupialis",0
"31","Lipl4","Didelphis marsupialis",0
"32","Lipl5","Didelphis marsupialis",0
"33","Posa1","Didelphis marsupialis",0
"34","Posa2","Didelphis marsupialis",6.2
"35","Posa3","Didelphis marsupialis",0
"36","Posa4","Didelphis marsupialis",0
"37","Lipl1","Eira barbara",0
"38","Lipl2","Eira barbara",0
"39","Lipl3","Eira barbara",6.7
"40","Lipl4","Eira barbara",0
"41","Lipl5","Eira barbara",7.1
"42","Posa1","Eira barbara",11.5
"43","Posa2","Eira barbara",18.8
"44","Posa3","Eira barbara",0
"45","Posa4","Eira barbara",0
"46","Lipl1","Leopardus pardalis",0
"47","Lipl2","Leopardus pardalis",0
"48","Lipl3","Leopardus pardalis",0
"49","Lipl4","Leopardus pardalis",0
"50","Lipl5","Leopardus pardalis",0
"51","Posa1","Leopardus pardalis",0
"52","Posa2","Leopardus pardalis",0
"53","Posa3","Leopardus pardalis",0
"54","Posa4","Leopardus pardalis",10
"55","Lipl1","Leopardus weiidi",0
"56","Lipl2","Leopardus weiidi",0
"57","Lipl3","Leopardus weiidi",3.3
"58","Lipl4","Leopardus weiidi",0
"59","Lipl5","Leopardus weiidi",0
"60","Posa1","Leopardus weiidi",0
"61","Posa2","Leopardus weiidi",0
"62","Posa3","Leopardus weiidi",0
"63","Posa4","Leopardus weiidi",0
"64","Lipl1","Mazama temama",6.7
"65","Lipl2","Mazama temama",0
"66","Lipl3","Mazama temama",0
"67","Lipl4","Mazama temama",0
"68","Lipl5","Mazama temama",0
"69","Posa1","Mazama temama",0
"70","Posa2","Mazama temama",18.8
"71","Posa3","Mazama temama",0
"72","Posa4","Mazama temama",0
"73","Lipl1","Nasua narica",26.7
"74","Lipl2","Nasua narica",0
"75","Lipl3","Nasua narica",13.3
"76","Lipl4","Nasua narica",18.8
"77","Lipl5","Nasua narica",14.3
"78","Posa1","Nasua narica",11.5
"79","Posa2","Nasua narica",6.2
"80","Posa3","Nasua narica",0
"81","Posa4","Nasua narica",10
"82","Lipl1","Pecari tajacu",6.7
"83","Lipl2","Pecari tajacu",7.1
"84","Lipl3","Pecari tajacu",0
"85","Lipl4","Pecari tajacu",12.5
"86","Lipl5","Pecari tajacu",7.1
"87","Posa1","Pecari tajacu",0
"88","Posa2","Pecari tajacu",37.5
"89","Posa3","Pecari tajacu",8.3
"90","Posa4","Pecari tajacu",0
"91","Lipl1","Philander opossum",0
"92","Lipl2","Philander opossum",0
"93","Lipl3","Philander opossum",3.3
"94","Lipl4","Philander opossum",0
"95","Lipl5","Philander opossum",0
"96","Posa1","Philander opossum",23.1
"97","Posa2","Philander opossum",0
"98","Posa3","Philander opossum",0
"99","Posa4","Philander opossum",20
"100","Lipl1","Procyon lotor",0
"101","Lipl2","Procyon lotor",0
"102","Lipl3","Procyon lotor",6.7
"103","Lipl4","Procyon lotor",6.2
"104","Lipl5","Procyon lotor",0
"105","Posa1","Procyon lotor",3.8
"106","Posa2","Procyon lotor",0
"107","Posa3","Procyon lotor",0
"108","Posa4","Procyon lotor",0
"109","Lipl1","Tapirus bairdii",6.7
"110","Lipl2","Tapirus bairdii",17.9
"111","Lipl3","Tapirus bairdii",20
"112","Lipl4","Tapirus bairdii",0
"113","Lipl5","Tapirus bairdii",21.4
"114","Posa1","Tapirus bairdii",3.8
"115","Posa2","Tapirus bairdii",50
"116","Posa3","Tapirus bairdii",8.3
"117","Posa4","Tapirus bairdii",40
