"","StationID","SpeciesID","mode_individuals"
"1","Lipl1","Conepatus semistriatus",0
"2","Lipl2","Conepatus semistriatus",0
"3","Lipl3","Conepatus semistriatus",0
"4","Lipl4","Conepatus semistriatus",0
"5","Lipl5","Conepatus semistriatus",0
"6","Posa1","Conepatus semistriatus",1
"7","Posa2","Conepatus semistriatus",0
"8","Posa3","Conepatus semistriatus",0
"9","Posa4","Conepatus semistriatus",1
"10","Lipl1","Cuniculus paca",0
"11","Lipl2","Cuniculus paca",1
"12","Lipl3","Cuniculus paca",0.6
"13","Lipl4","Cuniculus paca",1
"14","Lipl5","Cuniculus paca",1
"15","Posa1","Cuniculus paca",0.5
"16","Posa2","Cuniculus paca",1
"17","Posa3","Cuniculus paca",1
"18","Posa4","Cuniculus paca",0
"19","Lipl1","Dasyprocta punctata",1
"20","Lipl2","Dasyprocta punctata",0
"21","Lipl3","Dasyprocta punctata",0
"22","Lipl4","Dasyprocta punctata",0
"23","Lipl5","Dasyprocta punctata",0
"24","Posa1","Dasyprocta punctata",0.56
"25","Posa2","Dasyprocta punctata",0.75
"26","Posa3","Dasyprocta punctata",0
"27","Posa4","Dasyprocta punctata",0.5
"28","Lipl1","Didelphis marsupialis",0
"29","Lipl2","Didelphis marsupialis",0
"30","Lipl3","Didelphis marsupialis",0
"31","Lipl4","Didelphis marsupialis",0
"32","Lipl5","Didelphis marsupialis",0
"33","Posa1","Didelphis marsupialis",0
"34","Posa2","Didelphis marsupialis",1
"35","Posa3","Didelphis marsupialis",0
"36","Posa4","Didelphis marsupialis",0
"37","Lipl1","Eira barbara",0
"38","Lipl2","Eira barbara",0
"39","Lipl3","Eira barbara",1
"40","Lipl4","Eira barbara",0
"41","Lipl5","Eira barbara",0
"42","Posa1","Eira barbara",0.67
"43","Posa2","Eira barbara",1
"44","Posa3","Eira barbara",0
"45","Posa4","Eira barbara",0
"46","Lipl1","Leopardus pardalis",0
"47","Lipl2","Leopardus pardalis",0
"48","Lipl3","Leopardus pardalis",0
"49","Lipl4","Leopardus pardalis",0
"50","Lipl5","Leopardus pardalis",0
"51","Posa1","Leopardus pardalis",0
"52","Posa2","Leopardus pardalis",0
"53","Posa3","Leopardus pardalis",0
"54","Posa4","Leopardus pardalis",1
"55","Lipl1","Leopardus weiidi",0
"56","Lipl2","Leopardus weiidi",0
"57","Lipl3","Leopardus weiidi",0
"58","Lipl4","Leopardus weiidi",0
"59","Lipl5","Leopardus weiidi",0
"60","Posa1","Leopardus weiidi",0
"61","Posa2","Leopardus weiidi",0
"62","Posa3","Leopardus weiidi",0
"63","Posa4","Leopardus weiidi",0
"64","Lipl1","Mazama temama",1
"65","Lipl2","Mazama temama",0
"66","Lipl3","Mazama temama",0
"67","Lipl4","Mazama temama",0
"68","Lipl5","Mazama temama",0
"69","Posa1","Mazama temama",0
"70","Posa2","Mazama temama",0
"71","Posa3","Mazama temama",0
"72","Posa4","Mazama temama",0
"73","Lipl1","Nasua narica",1.12
"74","Lipl2","Nasua narica",0
"75","Lipl3","Nasua narica",0.75
"76","Lipl4","Nasua narica",1
"77","Lipl5","Nasua narica",1
"78","Posa1","Nasua narica",5.67
"79","Posa2","Nasua narica",1
"80","Posa3","Nasua narica",0
"81","Posa4","Nasua narica",4
"82","Lipl1","Pecari tajacu",1
"83","Lipl2","Pecari tajacu",0.5
"84","Lipl3","Pecari tajacu",0
"85","Lipl4","Pecari tajacu",1
"86","Lipl5","Pecari tajacu",2
"87","Posa1","Pecari tajacu",0
"88","Posa2","Pecari tajacu",1.67
"89","Posa3","Pecari tajacu",4
"90","Posa4","Pecari tajacu",0
"91","Lipl1","Philander opossum",0
"92","Lipl2","Philander opossum",0
"93","Lipl3","Philander opossum",0
"94","Lipl4","Philander opossum",0
"95","Lipl5","Philander opossum",0
"96","Posa1","Philander opossum",0.17
"97","Posa2","Philander opossum",0
"98","Posa3","Philander opossum",0
"99","Posa4","Philander opossum",1
"100","Lipl1","Procyon lotor",0
"101","Lipl2","Procyon lotor",0
"102","Lipl3","Procyon lotor",0.5
"103","Lipl4","Procyon lotor",1
"104","Lipl5","Procyon lotor",0
"105","Posa1","Procyon lotor",0
"106","Posa2","Procyon lotor",0
"107","Posa3","Procyon lotor",0
"108","Posa4","Procyon lotor",0
"109","Lipl1","Tapirus bairdii",1
"110","Lipl2","Tapirus bairdii",0.8
"111","Lipl3","Tapirus bairdii",0.83
"112","Lipl4","Tapirus bairdii",0
"113","Lipl5","Tapirus bairdii",1
"114","Posa1","Tapirus bairdii",1
"115","Posa2","Tapirus bairdii",1
"116","Posa3","Tapirus bairdii",1
"117","Posa4","Tapirus bairdii",1
