,CaptureID,SpeciesTree,StationID,Clase,Orden,SpeciesID,Sex,Individuals,Date,Time,Image1,DayNight
1,5375,Licania platypus,Lipl1,Mammals,Rodentia,Cuniculus paca,unknown,1,24/06/2014,19:28:29,Lipl1_20140624_192829.jpg,Night
2,5280,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,10:12:11,Lipl1_20140604_101211.jpg,Day
3,5281,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,10:12:15,Lipl1_20140604_101215.jpg,Day
4,5282,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,10:12:18,Lipl1_20140604_101218.jpg,Day
5,5283,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:12:03,Lipl1_20140604_151203.jpg,Day
6,5284,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:12:07,Lipl1_20140604_151207.jpg,Day
7,5285,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:12:10,Lipl1_20140604_151210.jpg,Day
8,5286,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:16:59,Lipl1_20140604_151659.jpg,Day
9,5287,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:30:21,Lipl1_20140604_153021.jpg,Day
10,5288,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:30:24,Lipl1_20140604_153024.jpg,Day
11,5289,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:30:28,Lipl1_20140604_153028.jpg,Day
12,5290,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:48:36,Lipl1_20140604_154836.jpg,Day
13,5291,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:48:39,Lipl1_20140604_154839.jpg,Day
14,5292,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,04/06/2014,15:48:43,Lipl1_20140604_154843.jpg,Day
15,5293,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,05/06/2014,10:45:39,Lipl1_20140605_104539.jpg,Day
16,5294,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,05/06/2014,10:45:43,Lipl1_20140605_104543.jpg,Day
17,5295,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,05/06/2014,10:45:46,Lipl1_20140605_104546.jpg,Day
18,5298,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,09/06/2014,08:22:22,Lipl1_20140609_082222.jpg,Day
19,5299,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,09/06/2014,08:22:26,Lipl1_20140609_082226.jpg,Day
20,5300,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,15/06/2014,09:51:13,Lipl1_20140615_095113.jpg,Day
21,5301,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,15/06/2014,09:51:16,Lipl1_20140615_095116.jpg,Day
22,5302,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,15/06/2014,09:51:19,Lipl1_20140615_095119.jpg,Day
23,5303,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,15/06/2014,09:53:20,Lipl1_20140615_095320.jpg,Day
24,5304,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,15/06/2014,09:53:22,Lipl1_20140615_095322.jpg,Day
25,5305,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,15/06/2014,09:54:55,Lipl1_20140615_095455.jpg,Day
26,5306,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,15/06/2014,09:54:58,Lipl1_20140615_095458.jpg,Day
27,5307,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,15/06/2014,09:55:00,Lipl1_20140615_095500.jpg,Day
28,5308,Licania platypus,Lipl1,Mammals,Rodentia,Dasyprocta punctata,unknown,1,15/06/2014,09:55:32,Lipl1_20140615_095532.jpg,Day
29,5266,Licania platypus,Lipl1,Mammals,Artiodactyla,Mazama temama,unknown,1,01/06/2014,08:06:18,Lipl1_20140601_080618.jpg,Day
30,5267,Licania platypus,Lipl1,Mammals,Artiodactyla,Mazama temama,unknown,1,01/06/2014,08:06:22,Lipl1_20140601_080622.jpg,Day
31,5296,Licania platypus,Lipl1,Mammals,Artiodactyla,Mazama temama,unknown,1,06/06/2014,12:03:05,Lipl1_20140606_120305.jpg,Day
32,5297,Licania platypus,Lipl1,Mammals,Artiodactyla,Mazama temama,unknown,1,06/06/2014,12:03:09,Lipl1_20140606_120309.jpg,Day
33,5260,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,28/05/2014,08:18:27,Lipl1_20140528_081827.jpg,Day
34,5261,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,28/05/2014,08:18:30,Lipl1_20140528_081830.jpg,Day
35,5262,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,28/05/2014,08:18:34,Lipl1_20140528_081834.jpg,Day
36,5263,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,29/05/2014,15:31:18,Lipl1_20140529_153118.jpg,Day
37,5264,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,29/05/2014,15:31:21,Lipl1_20140529_153121.jpg,Day
38,5265,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,29/05/2014,15:31:25,Lipl1_20140529_153125.jpg,Day
39,5271,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,02/06/2014,12:04:36,Lipl1_20140602_120436.jpg,Day
40,5275,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,04/06/2014,08:54:21,Lipl1_20140604_085421.jpg,Day
41,5276,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,04/06/2014,08:54:25,Lipl1_20140604_085425.jpg,Day
42,5277,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,04/06/2014,08:54:29,Lipl1_20140604_085429.jpg,Day
43,5278,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,04/06/2014,08:55:44,Lipl1_20140604_085544.jpg,Day
44,5279,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,04/06/2014,08:55:47,Lipl1_20140604_085547.jpg,Day
45,5309,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,17/06/2014,13:19:28,Lipl1_20140617_131928.jpg,Day
46,5310,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,17/06/2014,13:19:32,Lipl1_20140617_131932.jpg,Day
47,5311,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,17/06/2014,13:19:35,Lipl1_20140617_131935.jpg,Day
48,5312,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,18/06/2014,05:53:11,Lipl1_20140618_055311.jpg,Day
49,5313,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,18/06/2014,05:53:15,Lipl1_20140618_055315.jpg,Day
50,5314,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,18/06/2014,05:53:18,Lipl1_20140618_055318.jpg,Day
51,5315,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,18/06/2014,05:54:45,Lipl1_20140618_055445.jpg,Day
52,5316,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,18/06/2014,07:07:49,Lipl1_20140618_070749.jpg,Day
53,5317,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,18/06/2014,07:07:53,Lipl1_20140618_070753.jpg,Day
54,5318,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,18/06/2014,07:07:56,Lipl1_20140618_070756.jpg,Day
55,5319,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,18/06/2014,07:08:29,Lipl1_20140618_070829.jpg,Day
56,5320,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,18/06/2014,07:08:32,Lipl1_20140618_070832.jpg,Day
57,5321,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,18/06/2014,07:08:35,Lipl1_20140618_070835.jpg,Day
58,5322,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,20/06/2014,04:23:43,Lipl1_20140620_042343.jpg,Night
59,5323,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,20/06/2014,04:23:47,Lipl1_20140620_042347.jpg,Night
60,5324,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,20/06/2014,04:23:51,Lipl1_20140620_042351.jpg,Night
61,5328,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,22/06/2014,14:15:04,Lipl1_20140622_141504.jpg,Day
62,5329,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,22/06/2014,14:15:07,Lipl1_20140622_141507.jpg,Day
63,5330,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,22/06/2014,14:15:11,Lipl1_20140622_141511.jpg,Day
64,5331,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:18:35,Lipl1_20140622_141835.jpg,Day
65,5332,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:18:38,Lipl1_20140622_141838.jpg,Day
66,5333,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:18:41,Lipl1_20140622_141841.jpg,Day
67,5334,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:20:01,Lipl1_20140622_142001.jpg,Day
68,5335,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:20:05,Lipl1_20140622_142005.jpg,Day
69,5336,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:20:08,Lipl1_20140622_142008.jpg,Day
70,5337,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:21:25,Lipl1_20140622_142125.jpg,Day
71,5338,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:21:28,Lipl1_20140622_142128.jpg,Day
72,5339,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:21:31,Lipl1_20140622_142131.jpg,Day
73,5340,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:23:15,Lipl1_20140622_142315.jpg,Day
74,5341,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:23:19,Lipl1_20140622_142319.jpg,Day
75,5342,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:23:22,Lipl1_20140622_142322.jpg,Day
76,5343,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:23:57,Lipl1_20140622_142357.jpg,Day
77,5344,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:24:00,Lipl1_20140622_142400.jpg,Day
78,5345,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:24:04,Lipl1_20140622_142404.jpg,Day
79,5346,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:25:46,Lipl1_20140622_142546.jpg,Day
80,5347,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:25:49,Lipl1_20140622_142549.jpg,Day
81,5348,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:25:53,Lipl1_20140622_142553.jpg,Day
82,5349,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:29:49,Lipl1_20140622_142949.jpg,Day
83,5350,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:29:52,Lipl1_20140622_142952.jpg,Day
84,5351,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,14:29:56,Lipl1_20140622_142956.jpg,Day
85,5352,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,15:31:32,Lipl1_20140622_153132.jpg,Day
86,5353,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,15:31:36,Lipl1_20140622_153136.jpg,Day
87,5354,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,1,22/06/2014,15:31:39,Lipl1_20140622_153139.jpg,Day
88,5355,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,3,22/06/2014,15:47:45,Lipl1_20140622_154745.jpg,Day
89,5356,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,3,22/06/2014,15:47:48,Lipl1_20140622_154748.jpg,Day
90,5357,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,3,22/06/2014,15:47:52,Lipl1_20140622_154752.jpg,Day
91,5358,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,13,22/06/2014,15:48:28,Lipl1_20140622_154828.jpg,Day
92,5359,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,13,22/06/2014,15:48:31,Lipl1_20140622_154831.jpg,Day
93,5360,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,13,22/06/2014,15:48:35,Lipl1_20140622_154835.jpg,Day
94,5361,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,17,22/06/2014,15:49:11,Lipl1_20140622_154911.jpg,Day
95,5362,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,17,22/06/2014,15:49:14,Lipl1_20140622_154914.jpg,Day
96,5363,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,17,22/06/2014,15:49:18,Lipl1_20140622_154918.jpg,Day
97,5364,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,8,22/06/2014,15:49:54,Lipl1_20140622_154954.jpg,Day
98,5365,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,8,22/06/2014,15:49:57,Lipl1_20140622_154957.jpg,Day
99,5366,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,8,22/06/2014,15:50:01,Lipl1_20140622_155001.jpg,Day
100,5367,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,3,22/06/2014,15:50:36,Lipl1_20140622_155036.jpg,Day
101,5368,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,3,22/06/2014,15:50:39,Lipl1_20140622_155039.jpg,Day
102,5369,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,3,22/06/2014,15:50:43,Lipl1_20140622_155043.jpg,Day
103,5370,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,22/06/2014,15:51:15,Lipl1_20140622_155115.jpg,Day
104,5371,Licania platypus,Lipl1,Mammals,Carnivora,Nasua narica,unknown,2,22/06/2014,15:51:19,Lipl1_20140622_155119.jpg,Day
105,5272,Licania platypus,Lipl1,Mammals,Artiodactyla,Pecari tajacu,unknown,1,02/06/2014,13:10:06,Lipl1_20140602_131006.jpg,Day
106,5273,Licania platypus,Lipl1,Mammals,Artiodactyla,Pecari tajacu,unknown,1,02/06/2014,13:10:10,Lipl1_20140602_131010.jpg,Day
107,5274,Licania platypus,Lipl1,Mammals,Artiodactyla,Pecari tajacu,unknown,1,02/06/2014,13:10:14,Lipl1_20140602_131014.jpg,Day
108,5372,Licania platypus,Lipl1,Mammals,Artiodactyla,Pecari tajacu,unknown,1,23/06/2014,14:05:42,Lipl1_20140623_140542.jpg,Day
109,5373,Licania platypus,Lipl1,Mammals,Artiodactyla,Pecari tajacu,unknown,1,23/06/2014,14:05:46,Lipl1_20140623_140546.jpg,Day
110,5374,Licania platypus,Lipl1,Mammals,Artiodactyla,Pecari tajacu,unknown,1,23/06/2014,14:05:49,Lipl1_20140623_140549.jpg,Day
111,5268,Licania platypus,Lipl1,Mammals,Perissodactyla,Tapirus bairdii,unknown,1,01/06/2014,23:07:44,Lipl1_20140601_230744.jpg,Night
112,5269,Licania platypus,Lipl1,Mammals,Perissodactyla,Tapirus bairdii,unknown,1,01/06/2014,23:07:48,Lipl1_20140601_230748.jpg,Night
113,5270,Licania platypus,Lipl1,Mammals,Perissodactyla,Tapirus bairdii,unknown,1,01/06/2014,23:07:53,Lipl1_20140601_230753.jpg,Night
114,5325,Licania platypus,Lipl1,Mammals,Perissodactyla,Tapirus bairdii,unknown,1,22/06/2014,00:43:19,Lipl1_20140622_004319.jpg,Night
115,5326,Licania platypus,Lipl1,Mammals,Perissodactyla,Tapirus bairdii,unknown,1,22/06/2014,00:43:23,Lipl1_20140622_004323.jpg,Night
116,5327,Licania platypus,Lipl1,Mammals,Perissodactyla,Tapirus bairdii,unknown,1,22/06/2014,00:43:27,Lipl1_20140622_004327.jpg,Night
117,5400,Licania platypus,Lipl2,Mammals,Rodentia,Cuniculus paca,unknown,1,24/06/2014,22:31:14,Lipl2_20140624_223114.jpg,Night
118,5401,Licania platypus,Lipl2,Mammals,Rodentia,Cuniculus paca,unknown,1,24/06/2014,22:31:18,Lipl2_20140624_223118.jpg,Night
119,5402,Licania platypus,Lipl2,Mammals,Rodentia,Cuniculus paca,unknown,1,24/06/2014,22:31:22,Lipl2_20140624_223122.jpg,Night
120,5378,Licania platypus,Lipl2,Mammals,Artiodactyla,Pecari tajacu,unknown,1,05/06/2014,13:44:36,Lipl2_20140605_134436.jpg,Day
121,5394,Licania platypus,Lipl2,Mammals,Artiodactyla,Pecari tajacu,unknown,1,20/06/2014,06:40:02,Lipl2_20140620_064002.jpg,Day
122,5395,Licania platypus,Lipl2,Mammals,Artiodactyla,Pecari tajacu,unknown,1,20/06/2014,06:40:06,Lipl2_20140620_064006.jpg,Day
123,5396,Licania platypus,Lipl2,Mammals,Artiodactyla,Pecari tajacu,unknown,1,20/06/2014,06:40:11,Lipl2_20140620_064011.jpg,Day
124,5397,Licania platypus,Lipl2,Mammals,Artiodactyla,Pecari tajacu,unknown,2,20/06/2014,06:40:43,Lipl2_20140620_064043.jpg,Day
