x,y
20,20
20,25
20,30
20,35
20,40
20,45
20,50
20,55
20,60
20,65
20,70
25,20
25,25
25,30
25,35
25,40
25,45
25,50
25,55
25,60
25,65
25,70
30,20
30,25
30,30
30,35
30,40
30,45
30,50
30,55
30,60
30,65
30,70
35,20
35,25
35,30
35,35
35,40
35,45
35,50
35,55
35,60
35,65
35,70
40,20
40,25
40,30
40,35
40,40
40,45
40,50
40,55
40,60
40,65
40,70
45,20
45,25
45,30
45,35
45,40
45,45
45,50
45,55
45,60
45,65
45,70
50,20
50,25
50,30
50,35
50,40
50,45
50,50
50,55
50,60
50,65
50,70
55,20
55,25
55,30
55,35
55,40
55,45
55,50
55,55
55,60
55,65
55,70
60,20
60,25
60,30
60,35
60,40
60,45
60,50
60,55
60,60
60,65
60,70
65,20
65,25
65,30
65,35
65,40
65,45
65,50
65,55
65,60
65,65
65,70
70,20
70,25
70,30
70,35
70,40
70,45
70,50
70,55
70,60
70,65
70,70
