X,Y,No_camara,Station,Localidad,Fecha_colo,Fecha_reti,Problem1_from,Problem1_to,Problem2_from,Problem2_to
693369,2006394,14,CB1,Casa Blanca,01/02/2012,05/04/2013,01/06/2012,30/06/2012,01/12/2012,31/01/2013
691206,2008027,18,CB2,Casa Blanca,01/02/2012,05/04/2013,,,,
693799,2010085,19,CB3,Casa Blanca,01/02/2012,05/04/2013,01/04/2012,30/05/2012,,
693800,2009773,20,CB4,Casa Blanca,01/04/2012,05/04/2013,,,,
694945,2008495,21,CB5,Casa Blanca,01/04/2012,05/04/2013,,,,
691929,2006839,22,CB6,Casa Blanca,01/08/2012,05/04/2013,,,,
694015,2008951,23,CB7,Casa Blanca,01/05/2013,31/10/2013,01/06/2013,30/06/2013,20/09/2013,02/10/2013
691686,2009547,24,CB8,Casa Blanca,01/05/2013,31/10/2013,,,,
693632,2009807,25,CB9,Casa Blanca,01/05/2013,31/10/2013,,,,
692800,2008239,26,CB10,Casa Blanca,01/05/2013,31/10/2013,,,,
