X,Y,Station,Fecha_colocación,Fecha_retiro,Problem1_from,Problem1_to,Problem2_from,Problem2_to
694862,2007818,CB1,01/02/2012,31/12/2012,,,,
694172,2008343,CB2,01/02/2012,31/12/2012,,,,
693800,2009773,CB3,01/02/2012,31/12/2012,,,,
694945,2008495,CB4,01/02/2012,31/12/2012,01/02/2012,31/03/2012,,
690994,2009840,CB5,01/02/2012,31/12/2012,,,,
694975,2006697,CB6,01/02/2012,31/12/2012,01/12/2012,31/12/2012,,
693362,2006379,CB7,01/02/2012,31/12/2012,01/06/2012,30/06/2012,01/12/2012,31/12/2012
691929,2006839,CB8,01/02/2012,31/12/2012,,,,
691206,2008027,CB9,01/02/2012,31/12/2012,,,,
693799,2010085,CB10,01/02/2012,31/12/2012,,,,
