"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName"
"1","CB23","Conejo",2013-05-12 04:02:34,2013-05-12,"04:02:34",0,0,0,0,"Sitio_1_R/CB23/Conejo","CB23__2013-05-12__04-02-34(1).JPG"
"2","CB23","Conejo",2013-05-12 04:02:38,2013-05-12,"04:02:38",4,0,0,0,"Sitio_1_R/CB23/Conejo","CB23__2013-05-12__04-02-38(2).JPG"
"3","CB23","Conejo",2013-05-12 04:02:43,2013-05-12,"04:02:43",5,0,0,0,"Sitio_1_R/CB23/Conejo","CB23__2013-05-12__04-02-43(3).JPG"
"4","CB23","Venado",2013-06-04 18:21:00,2013-06-04,"18:21:00",0,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-06-04__18-21-00(1).JPG"
"5","CB23","Venado",2013-06-04 18:21:05,2013-06-04,"18:21:05",5,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-06-04__18-21-05(2).JPG"
"6","CB23","Venado",2013-06-04 18:21:09,2013-06-04,"18:21:09",4,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-06-04__18-21-09(3).JPG"
"7","CB23","Venado",2013-06-08 19:57:12,2013-06-08,"19:57:12",351363,5856,97.6,4.1,"Sitio_1_R/CB23/Venado","CB23__2013-06-08__19-57-12(1).JPG"
"8","CB23","Venado",2013-06-08 19:57:17,2013-06-08,"19:57:17",5,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-06-08__19-57-17(2).JPG"
"9","CB23","Venado",2013-06-08 19:57:22,2013-06-08,"19:57:22",5,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-06-08__19-57-22(3).JPG"
"10","CB23","Venado",2013-06-26 04:13:05,2013-06-26,"04:13:05",1498543,24976,416.3,17.3,"Sitio_1_R/CB23/Venado","CB23__2013-06-26__04-13-05(1).JPG"
"11","CB23","Venado",2013-07-05 06:00:23,2013-07-05,"06:00:23",784038,13067,217.8,9.1,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__06-00-23(1).JPG"
"12","CB23","Venado",2013-07-05 06:00:27,2013-07-05,"06:00:27",4,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__06-00-27(2).JPG"
"13","CB23","Venado",2013-07-05 06:00:32,2013-07-05,"06:00:32",5,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__06-00-32(3).JPG"
"14","CB23","Venado",2013-07-05 06:00:55,2013-07-05,"06:00:55",23,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__06-00-55(4).JPG"
"15","CB23","Venado",2013-07-05 16:30:20,2013-07-05,"16:30:20",37765,629,10.5,0.4,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__16-30-20(1).JPG"
"16","CB23","Venado",2013-07-05 16:30:25,2013-07-05,"16:30:25",5,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__16-30-25(2).JPG"
"17","CB23","Venado",2013-07-05 16:30:29,2013-07-05,"16:30:29",4,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__16-30-29(3).JPG"
"18","CB23","Venado",2013-07-05 16:31:12,2013-07-05,"16:31:12",43,1,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__16-31-12(1).JPG"
"19","CB23","Venado",2013-07-05 16:31:17,2013-07-05,"16:31:17",5,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__16-31-17(2).JPG"
"20","CB23","Venado",2013-07-05 16:31:21,2013-07-05,"16:31:21",4,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-05__16-31-21(3).JPG"
"21","CB23","Venado",2013-07-07 18:05:56,2013-07-07,"18:05:56",178475,2975,49.6,2.1,"Sitio_1_R/CB23/Venado","CB23__2013-07-07__18-05-56(1).JPG"
"22","CB23","Venado",2013-07-07 18:06:00,2013-07-07,"18:06:00",4,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-07__18-06-00(1).JPG"
"23","CB23","Venado",2013-07-07 18:38:59,2013-07-07,"18:38:59",1979,33,0.6,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-07__18-38-59(1).JPG"
"24","CB23","Venado",2013-07-07 18:39:04,2013-07-07,"18:39:04",5,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-07__18-39-04(1).JPG"
"25","CB23","Venado",2013-07-07 18:39:08,2013-07-07,"18:39:08",4,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-07__18-39-08(2).JPG"
"26","CB23","Venado",2013-07-20 05:21:43,2013-07-20,"05:21:43",1075355,17923,298.7,12.4,"Sitio_1_R/CB23/Venado","CB23__2013-07-20__05-21-43(1).JPG"
"27","CB23","Venado",2013-07-20 05:21:47,2013-07-20,"05:21:47",4,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-20__05-21-47(2).JPG"
"28","CB23","Venado",2013-07-20 05:21:52,2013-07-20,"05:21:52",5,0,0,0,"Sitio_1_R/CB23/Venado","CB23__2013-07-20__05-21-52(3).JPG"
"29","CB24","Lince",2013-05-09 18:57:25,2013-05-09,"18:57:25",0,0,0,0,"Sitio_1_R/CB24/Lince","CB24__2013-05-09__18-57-25(1).JPG"
"30","CB24","Lince",2013-05-09 18:57:26,2013-05-09,"18:57:26",1,0,0,0,"Sitio_1_R/CB24/Lince","CB24__2013-05-09__18-57-26(2).JPG"
"31","CB24","Lince",2013-05-09 18:57:27,2013-05-09,"18:57:27",1,0,0,0,"Sitio_1_R/CB24/Lince","CB24__2013-05-09__18-57-27(3).JPG"
"32","CB24","Venado",2013-05-12 06:34:02,2013-05-12,"06:34:02",0,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-05-12__06-34-02(1).JPG"
"33","CB24","Venado",2013-05-12 06:34:03,2013-05-12,"06:34:03",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-05-12__06-34-03(2).JPG"
"34","CB24","Venado",2013-05-12 06:34:04,2013-05-12,"06:34:04",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-05-12__06-34-04(3).JPG"
"35","CB24","Venado",2013-05-13 03:56:36,2013-05-13,"03:56:36",76952,1283,21.4,0.9,"Sitio_1_R/CB24/Venado","CB24__2013-05-13__03-56-36(1).JPG"
"36","CB24","Venado",2013-05-13 03:56:37,2013-05-13,"03:56:37",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-05-13__03-56-37(2).JPG"
"37","CB24","Venado",2013-05-13 03:56:38,2013-05-13,"03:56:38",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-05-13__03-56-38(3).JPG"
"38","CB24","Venado",2013-06-19 10:00:17,2013-06-19,"10:00:17",3218619,53644,894.1,37.3,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-00-17(1).JPG"
"39","CB24","Venado",2013-06-19 10:00:18,2013-06-19,"10:00:18",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-00-18(2).JPG"
"40","CB24","Venado",2013-06-19 10:00:20,2013-06-19,"10:00:20",2,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-00-20(3).JPG"
"41","CB24","Venado",2013-06-19 10:01:13,2013-06-19,"10:01:13",53,1,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-01-13(1).JPG"
"42","CB24","Venado",2013-06-19 10:01:14,2013-06-19,"10:01:14",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-01-14(2).JPG"
"43","CB24","Venado",2013-06-19 10:01:16,2013-06-19,"10:01:16",2,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-19__10-01-16(3).JPG"
"44","CB24","Venado",2013-06-28 18:03:03,2013-06-28,"18:03:03",806507,13442,224,9.3,"Sitio_1_R/CB24/Venado","CB24__2013-06-28__18-03-03(1).JPG"
"45","CB24","Venado",2013-06-28 18:03:04,2013-06-28,"18:03:04",1,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-28__18-03-04(2).JPG"
"46","CB24","Venado",2013-06-28 18:03:06,2013-06-28,"18:03:06",2,0,0,0,"Sitio_1_R/CB24/Venado","CB24__2013-06-28__18-03-06(3).JPG"
"47","CB25","Pecari",2013-06-05 23:12:20,2013-06-05,"23:12:20",0,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-05__23-12-20(1).JPG"
"48","CB25","Pecari",2013-06-05 23:12:25,2013-06-05,"23:12:25",5,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-05__23-12-25(2).JPG"
"49","CB25","Pecari",2013-06-05 23:12:29,2013-06-05,"23:12:29",4,0,0,0,"Sitio_1_R/CB25/Pecari","CB25__2013-06-05__23-12-29(3).JPG"
"50","CB25","Pecari",2013-06-22 18:55:41,2013-06-22,"18:55:41",1453392,24223,403.7,16.8,"Sitio_1_R/CB25/Pecari","CB25__2013-06-22__18-55-41(1).JPG"
