"","Station","Species","Individual","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName"
"1","CB23","Venado","Individuo 1",2013-06-04 18:21:00,2013-06-04,"18:21:00",0,0,0,0,"Venado/CB23/Individuo 1","CB23__2013-06-04__18-21-00(1).JPG"
"2","CB23","Venado","Individuo 1",2013-06-08 19:57:12,2013-06-08,"19:57:12",351372,5856,97.6,4.1,"Venado/CB23/Individuo 1","CB23__2013-06-08__19-57-12(1).JPG"
"3","CB23","Venado","Individuo 1",2013-06-26 04:13:05,2013-06-26,"04:13:05",1498553,24976,416.3,17.3,"Venado/CB23/Individuo 1","CB23__2013-06-26__04-13-05(1).JPG"
"4","CB23","Venado","Individuo 1",2013-07-05 06:00:23,2013-07-05,"06:00:23",784038,13067,217.8,9.1,"Venado/CB23/Individuo 1","CB23__2013-07-05__06-00-23(1).JPG"
"5","CB23","Venado","Individuo 1",2013-07-07 18:05:56,2013-07-07,"18:05:56",216333,3606,60.1,2.5,"Venado/CB23/Individuo 1","CB23__2013-07-07__18-05-56(1).JPG"
"6","CB23","Venado","Individuo 1",2013-07-20 05:21:43,2013-07-20,"05:21:43",1077347,17956,299.3,12.5,"Venado/CB23/Individuo 1","CB23__2013-07-20__05-21-43(1).JPG"
"7","CB23","Venado","Individuo 2",2013-07-05 16:30:20,2013-07-05,"16:30:20",0,0,0,0,"Venado/CB23/Individuo 2","CB23__2013-07-05__16-30-20(1).JPG"
"8","CB24","Venado","Individuo 3",2013-05-12 06:34:02,2013-05-12,"06:34:02",0,0,0,0,"Venado/CB24/Individuo 3","CB24__2013-05-12__06-34-02(1).JPG"
"9","CB24","Venado","Individuo 3",2013-05-13 03:56:36,2013-05-13,"03:56:36",76954,1283,21.4,0.9,"Venado/CB24/Individuo 3","CB24__2013-05-13__03-56-36(1).JPG"
"10","CB24","Venado","Individuo 4",2013-06-19 10:00:17,2013-06-19,"10:00:17",0,0,0,0,"Venado/CB24/Individuo 4","CB24__2013-06-19__10-00-17(1).JPG"
"11","CB24","Venado","Individuo 5",2013-06-28 18:03:03,2013-06-28,"18:03:03",0,0,0,0,"Venado/CB24/Individuo 5","CB24__2013-06-28__18-03-03(1).JPG"
"12","CB25","Venado","Individuo 6",2013-05-14 18:55:21,2013-05-14,"18:55:21",0,0,0,0,"Venado/CB25/Individuo 6","CB25__2013-05-14__18-55-21(1).JPG"
"13","CB25","Venado","Individuo 6",2013-05-18 21:17:31,2013-05-18,"21:17:31",354130,5902,98.4,4.1,"Venado/CB25/Individuo 6","CB25__2013-05-18__21-17-31(1).JPG"
"14","CB25","Venado","Individuo 6",2013-06-06 20:46:53,2013-06-06,"20:46:53",1639762,27329,455.5,19,"Venado/CB25/Individuo 6","CB25__2013-06-06__20-46-53(1).JPG"
"15","CB25","Venado","Individuo 6",2013-06-27 19:31:42,2013-06-27,"19:31:42",1809889,30165,502.8,20.9,"Venado/CB25/Individuo 6","CB25__2013-06-27__19-31-42(1).JPG"
"16","CB25","Venado","Individuo 6",2013-07-16 04:19:19,2013-07-16,"04:19:19",1586857,26448,440.8,18.4,"Venado/CB25/Individuo 6","CB25__2013-07-16__04-19-19(1).JPG"
"17","CB25","Venado","Individuo 7",2013-07-16 22:52:18,2013-07-16,"22:52:18",0,0,0,0,"Venado/CB25/Individuo 7","CB25__2013-07-16__22-52-18(1).JPG"
"18","CB25","Venado","Individuo 8",2013-07-02 08:47:00,2013-07-02,"08:47:00",0,0,0,0,"Venado/CB25/Individuo 8","CB25__2013-07-02__08-47-00(1).JPG"
"19","CB27","Venado","Individuo 9",2013-07-17 07:33:05,2013-07-17,"07:33:05",0,0,0,0,"Venado/CB27/Individuo 9","CB27__2013-07-17__07-33-05(1).JPG"
