,Camera,Species,Events,Effort,X,Y,Loc_dist,Road_dist,Veg_type,scrub,grass
1,C1,Odo_vir,15,281,758937,2167945,4718,2550,Selva,971,29
2,C1,Uro_cin,68,281,758937,2167945,4718,2550,Selva,971,29
3,C1,Can_lat,0,281,758937,2167945,4718,2550,Selva,971,29
4,C1,Con_leu,22,281,758937,2167945,4718,2550,Selva,971,29
5,C1,Did_vir,15,281,758937,2167945,4718,2550,Selva,971,29
6,C1,Lyn_ruf,6,281,758937,2167945,4718,2550,Selva,971,29
7,C1,Bas_ast,3,281,758937,2167945,4718,2550,Selva,971,29
8,C1,Syl_flo,0,281,758937,2167945,4718,2550,Selva,971,29
9,C1,Nas_nar,1,281,758937,2167945,4718,2550,Selva,971,29
10,C1,Pec_taj,0,281,758937,2167945,4718,2550,Selva,971,29
11,C1,Leo_wie,1,281,758937,2167945,4718,2550,Selva,971,29
12,C1,Pro_lot,1,281,758937,2167945,4718,2550,Selva,971,29
13,C1,Mep_mac,1,281,758937,2167945,4718,2550,Selva,971,29
14,C2,Odo_vir,11,250,758648,2168425,4655,2756,Selva,999,0
15,C2,Uro_cin,20,250,758648,2168425,4655,2756,Selva,999,0
16,C2,Can_lat,0,250,758648,2168425,4655,2756,Selva,999,0
17,C2,Con_leu,0,250,758648,2168425,4655,2756,Selva,999,0
18,C2,Did_vir,0,250,758648,2168425,4655,2756,Selva,999,0
19,C2,Lyn_ruf,0,250,758648,2168425,4655,2756,Selva,999,0
20,C2,Bas_ast,0,250,758648,2168425,4655,2756,Selva,999,0
21,C2,Syl_flo,0,250,758648,2168425,4655,2756,Selva,999,0
22,C2,Nas_nar,0,250,758648,2168425,4655,2756,Selva,999,0
23,C2,Pec_taj,3,250,758648,2168425,4655,2756,Selva,999,0
24,C2,Leo_wie,0,250,758648,2168425,4655,2756,Selva,999,0
25,C2,Pro_lot,0,250,758648,2168425,4655,2756,Selva,999,0
26,C2,Mep_mac,0,250,758648,2168425,4655,2756,Selva,999,0
27,C3,Odo_vir,18,281,759275,2168699,4187,2118,Selva,982,17
28,C3,Uro_cin,9,281,759275,2168699,4187,2118,Selva,982,17
29,C3,Can_lat,0,281,759275,2168699,4187,2118,Selva,982,17
30,C3,Con_leu,0,281,759275,2168699,4187,2118,Selva,982,17
31,C3,Did_vir,0,281,759275,2168699,4187,2118,Selva,982,17
32,C3,Lyn_ruf,0,281,759275,2168699,4187,2118,Selva,982,17
33,C3,Bas_ast,0,281,759275,2168699,4187,2118,Selva,982,17
34,C3,Syl_flo,0,281,759275,2168699,4187,2118,Selva,982,17
35,C3,Nas_nar,0,281,759275,2168699,4187,2118,Selva,982,17
36,C3,Pec_taj,0,281,759275,2168699,4187,2118,Selva,982,17
37,C3,Leo_wie,0,281,759275,2168699,4187,2118,Selva,982,17
38,C3,Pro_lot,0,281,759275,2168699,4187,2118,Selva,982,17
39,C3,Mep_mac,0,281,759275,2168699,4187,2118,Selva,982,17
40,C4,Odo_vir,25,220,758766,2167304,4233,2773,Selva,580,419
41,C4,Uro_cin,13,220,758766,2167304,4233,2773,Selva,580,419
42,C4,Can_lat,0,220,758766,2167304,4233,2773,Selva,580,419
43,C4,Con_leu,0,220,758766,2167304,4233,2773,Selva,580,419
44,C4,Did_vir,0,220,758766,2167304,4233,2773,Selva,580,419
45,C4,Lyn_ruf,0,220,758766,2167304,4233,2773,Selva,580,419
46,C4,Bas_ast,0,220,758766,2167304,4233,2773,Selva,580,419
47,C4,Syl_flo,0,220,758766,2167304,4233,2773,Selva,580,419
48,C4,Nas_nar,0,220,758766,2167304,4233,2773,Selva,580,419
49,C4,Pec_taj,0,220,758766,2167304,4233,2773,Selva,580,419
50,C4,Leo_wie,0,220,758766,2167304,4233,2773,Selva,580,419
51,C4,Pro_lot,0,220,758766,2167304,4233,2773,Selva,580,419
52,C4,Mep_mac,0,220,758766,2167304,4233,2773,Selva,580,419
53,C5,Odo_vir,32,281,757761,2162127,3838,2557,Selva,0,289
54,C5,Uro_cin,43,281,757761,2162127,3838,2557,Selva,0,289
