Camera,X,Y,Loc_dist,Road_dist,Veg_type,scrub,grass
C1,758937,2167945,4718,2550,Selva,971,29
C2,758648,2168425,4655,2756,Selva,999,0
C3,759275,2168699,4187,2118,Selva,982,17
C4,758766,2167304,4233,2773,Selva,580,419
C5,757761,2162127,3838,2557,Selva,0,289
C6,758282,2162556,3991,2291,Pastizal,0,86
C7,757714,2163266,3133,2524,Pastizal,0,999
C8,756970,2163804,2223,1883,Pastizal,29,996
C9,755365,2160480,4302,522,Agricultura,360,71
C10,755943,2161023,3876,1120,Pastizal,228,432
C11,755943,2161023,3876,1151,Pastizal,29,423
C12,758766,2167304,4233,2771,Selva,580,400
C13,757761,2162127,3855,2557,Selva,0,289
