Camera,Species,Events,Effort
C1,Odo_vir,15,281
C1,Uro_cin,68,281
C1,Can_lat,0,281
C1,Con_leu,22,281
C1,Did_vir,15,281
C1,Lyn_ruf,6,281
C1,Bas_ast,3,281
C1,Syl_flo,0,281
C1,Nas_nar,1,281
C1,Pec_taj,0,281
C1,Leo_wie,1,281
C1,Pro_lot,1,281
C1,Mep_mac,1,281
C2,Odo_vir,11,250
C2,Uro_cin,20,250
C2,Can_lat,0,250
C2,Con_leu,0,250
C2,Did_vir,0,250
C2,Lyn_ruf,0,250
C2,Bas_ast,0,250
C2,Syl_flo,0,250
C2,Nas_nar,0,250
C2,Pec_taj,3,250
C2,Leo_wie,0,250
C2,Pro_lot,0,250
C2,Mep_mac,0,250
C3,Odo_vir,18,281
C3,Uro_cin,9,281
C3,Can_lat,0,281
C3,Con_leu,0,281
C3,Did_vir,0,281
C3,Lyn_ruf,0,281
C3,Bas_ast,0,281
C3,Syl_flo,0,281
C3,Nas_nar,0,281
C3,Pec_taj,0,281
C3,Leo_wie,0,281
C3,Pro_lot,0,281
C3,Mep_mac,0,281
C4,Odo_vir,25,220
C4,Uro_cin,13,220
C4,Can_lat,0,220
C4,Con_leu,0,220
C4,Did_vir,0,220
C4,Lyn_ruf,0,220
C4,Bas_ast,0,220
C4,Syl_flo,0,220
C4,Nas_nar,0,220
C4,Pec_taj,0,220
C4,Leo_wie,0,220
C4,Pro_lot,0,220
C4,Mep_mac,0,220
C5,Odo_vir,32,281
C5,Uro_cin,43,281
C5,Can_lat,0,281
C5,Con_leu,0,281
C5,Did_vir,0,281
C5,Lyn_ruf,0,281
C5,Bas_ast,0,281
C5,Syl_flo,0,281
C5,Nas_nar,0,281
C5,Pec_taj,0,281
C5,Leo_wie,0,281
C5,Pro_lot,0,281
C5,Mep_mac,0,281
C6,Odo_vir,8,281
C6,Uro_cin,9,281
C6,Can_lat,75,281
C6,Con_leu,0,281
C6,Did_vir,0,281
C6,Lyn_ruf,4,281
C6,Bas_ast,0,281
C6,Syl_flo,0,281
C6,Nas_nar,1,281
C6,Pec_taj,0,281
C6,Leo_wie,0,281
C6,Pro_lot,0,281
C6,Mep_mac,0,281
C7,Odo_vir,29,281
C7,Uro_cin,10,281
C7,Can_lat,0,281
C7,Con_leu,0,281
C7,Did_vir,0,281
C7,Lyn_ruf,0,281
C7,Bas_ast,0,281
C7,Syl_flo,0,281
C7,Nas_nar,1,281
C7,Pec_taj,2,281
C7,Leo_wie,0,281
C7,Pro_lot,0,281
C7,Mep_mac,0,281
C8,Odo_vir,9,253
C8,Uro_cin,4,253
C8,Can_lat,8,253
C8,Con_leu,0,253
C8,Did_vir,0,253
C8,Lyn_ruf,0,253
C8,Bas_ast,0,253
C8,Syl_flo,0,253
C8,Nas_nar,0,253
C8,Pec_taj,0,253
C8,Leo_wie,0,253
C8,Pro_lot,0,253
C8,Mep_mac,0,253
C9,Odo_vir,11,281
C9,Uro_cin,15,281
C9,Can_lat,4,281
C9,Con_leu,0,281
C9,Did_vir,0,281
C9,Lyn_ruf,2,281
C9,Bas_ast,6,281
C9,Syl_flo,8,281
C9,Nas_nar,3,281
C9,Pec_taj,0,281
C9,Leo_wie,0,281
C9,Pro_lot,0,281
C9,Mep_mac,0,281
