Station,Species,DateTimeOriginal,Date,Time,Time_2,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
CB1,Armadillo,06/09/2012 01:43,06/09/2012,01:43:46,0.072060185,0,0,0,0,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Armadillo,CB1__2012-09-06__01-43-46(1).JPG
CB1,Armadillo,11/12/2012 20:52,11/12/2012,20:52:49,0.870011574,8366941,139449,2324.2,96.8,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Armadillo,CB1__2012-12-11__20-52-49(1).JPG
CB1,Coatí,04/04/2012 11:17,04/04/2012,11:17:46,0.470671296,0,0,0,0,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/CoatÃ­,CB1__2012-04-04__11-17-46(1).JPG
CB1,Coatí,24/12/2012 16:26,24/12/2012,16:26:15,0.684895833,22831512,380525,6342.1,264.3,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/CoatÃ­,CB1__2012-12-24__16-26-15(1).JPG
CB1,Coatí,24/12/2012 19:04,24/12/2012,19:04:43,0.79494213,9097,152,2.5,0.1,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/CoatÃ­,CB1__2012-12-24__19-04-43(1).JPG
CB1,Conejo,14/02/2012 05:07,14/02/2012,05:07:22,0.213449074,0,0,0,0,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-02-14__05-07-22(1).JPG
CB1,Conejo,28/02/2012 05:53,28/02/2012,05:53:53,0.245752315,1212387,20206,336.8,14,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-02-28__05-53-53(1).JPG
CB1,Conejo,05/03/2012 05:16,05/03/2012,05:16:43,0.21994213,516166,8603,143.4,6,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-03-05__05-16-43(1).JPG
CB1,Conejo,05/03/2012 07:32,05/03/2012,07:32:11,0.314016204,8124,135,2.2,0.1,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-03-05__07-32-11(1).JPG
CB1,Conejo,07/03/2012 04:23,07/03/2012,04:23:14,0.182800926,161460,2691,44.9,1.9,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-03-07__04-23-14(1).JPG
CB1,Conejo,08/03/2012 04:13,08/03/2012,04:13:37,0.176122685,85820,1430,23.8,1,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-03-08__04-13-37(1).JPG
CB1,Conejo,12/03/2012 06:11,12/03/2012,06:11:35,0.258043981,352674,5878,98,4.1,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-03-12__06-11-35(1).JPG
CB1,Conejo,16/03/2012 05:56,16/03/2012,05:56:00,0.247222222,344662,5744,95.7,4,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-03-16__05-56-00(1).JPG
CB1,Conejo,26/04/2012 08:21,26/04/2012,08:21:31,0.348275463,3547529,59125,985.4,41.1,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-04-26__08-21-31(1).JPG
CB1,Conejo,27/04/2012 09:43,27/04/2012,09:43:55,0.405497685,91340,1522,25.4,1.1,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-04-27__09-43-55(1).JPG
CB1,Conejo,02/05/2012 22:53,02/05/2012,22:53:01,0.953483796,479343,7989,133.2,5.5,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-05-02__22-53-01(1).JPG
CB1,Conejo,05/05/2012 01:13,05/05/2012,01:13:01,0.050706019,181198,3020,50.3,2.1,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-05-05__01-13-01(1).JPG
CB1,Conejo,13/05/2012 16:41,13/05/2012,16:41:59,0.695821759,746935,12449,207.5,8.6,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-05-13__16-41-59(1).JPG
CB1,Conejo,15/05/2012 06:38,15/05/2012,06:38:38,0.276828704,136597,2277,38,1.6,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-05-15__06-38-38(1).JPG
CB1,Conejo,16/05/2012 21:23,16/05/2012,21:23:09,0.891076389,139468,2324,38.7,1.6,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-05-16__21-23-09(1).JPG
CB1,Conejo,20/05/2012 08:33,20/05/2012,08:33:49,0.35681713,299437,4991,83.2,3.5,C:/Users/Ev/Desktop/Renombradas Casa Blanca/CB1/Conejo,CB1__2012-05-20__08-33-49(1).JPG
